intnr;int_jahr;int_mon;mobil;az;nt;zpalter;Stib;lguelt;x1216;y1216;Bula;gkpol;BIK10;des2018;gew2018;gew2018_hr17;S1;S2_m;S2_j
82240;2017;11;0;45;0;56;2;2;12000;1;6;5;7;1;0.631;1180.3381569058565;1;5;1961
82387;2017;10;0;20;0;36;2;1;NA;NA;8;4;7;0.445;0.366;684.6335426743954;2;4;1981
82391;2017;11;0;29;0;55;2;3;12300;1;12;3;4;0.534;0.712;1331.85541635019;2;12;1961
82587;2017;10;0;34;0;57;2;2;12000;1;14;4;10;0.534;0.417;780.0332986208275;2;9;1960
83053;2017;10;0;30;0;59;2;2;12000;1;3;3;7;0.296;0.206;385.3401906855886;1;9;1958
83113;2017;11;0;55;0;58;2;2;12000;1;6;3;3;0.267;0.229;428.3636100339796;1;7;1959
83132;2018;1;0;30;0;54;2;2;12000;1;8;3;3;0.534;0.807;1509.5608440935441;2;9;1963
83261;2017;10;0;39;0;63;2;1;NA;NA;2;7;10;0.243;0.264;493.8340307815311;2;10;1954
83352;2017;11;0;40;0;60;2;2;12000;1;5;4;4;0.728;0.404;755.715713771737;1;1;1957
83449;2017;10;0;40;0;52;3;1;NA;NA;3;6;8;0.296;0.211;394.69310793523886;1;6;1965
83464;2017;10;0;25;0;57;2;1;NA;NA;5;6;8;0.534;0.638;1193.4322410553668;2;9;1960
83626;2017;12;0;35;0;52;1;1;NA;NA;9;3;9;0.728;1.944;3636.4142266640015;2;6;1965
83927;2017;10;0;40;0;61;2;3;12300;1;6;3;3;0.572;0.49;916.5858904657206;1;10;1956
83934;2017;10;0;40;0;49;2;2;12000;1;8;3;3;0.296;1.05;1964.1126224265442;2;6;1968
84123;2017;10;0;40;0;63;2;3;12300;1;3;5;7;0.534;0.459;858.5978035178894;1;9;1954
84133;2017;10;0;35;0;50;4;1;NA;NA;13;4;4;0.534;0.591;1105.514818908655;2;9;1967
84328;2017;10;0;39;0;51;1;3;12340;1;9;1;5;0.296;0.208;389.0813575854487;1;3;1966
84419;2017;10;0;30;0;36;2;1;NA;NA;9;6;8;0.572;0.317;592.9749536278233;2;8;1981
84483;2017;10;0;38;0;63;2;2;12000;1;2;7;10;0.728;0.404;755.715713771737;1;5;1954
84683;2017;10;0;38;0;51;4;3;12300;1;5;4;9;0.296;0.345;645.3512902258644;1;11;1965
84976;2017;10;0;42;0;57;2;1;NA;NA;3;2;5;0.296;0.4;748.2333799720169;1;1;1960
91283;2017;10;1;40;0;51;1;1;NA;NA;12;3;3;0.728;1.524;2850.7691776933843;1;5;1966
92784;2017;10;1;40;0;46;2;2;12000;1;8;4;7;1.338;3.979;7443.051547271637;1;7;1971
94148;2018;2;1;20;0;24;7;NA;NA;NA;5;6;8;1.415;1.525;2852.639761143314;1;2;1994
94767;2017;11;1;50;0;40;2;2;12000;1;5;6;10;1.338;1.619;3028.474605436738;1;5;1977
95602;2018;2;1;45;0;24;3;1;NA;NA;9;5;8;0.728;0.292;546.2103673795722;1;6;1993
95941;2017;11;1;35;1;34;1;2;12000;1;9;2;3;0.534;0.703;1315.0201653008194;1;9;1983
107452;2017;11;1;37;0;23;1;NA;NA;NA;3;2;4;2.677;4.656;8709.436542874275;1;1;1994
110826;2017;11;1;12;0;64;1;2;12000;1;5;5;6;0.534;2.28;4264.930265840495;1;3;1953
121289;2017;10;1;35;0;38;2;1;NA;NA;12;3;3;1.338;1.2;2244.7001399160504;2;3;1979
121992;2017;11;1;10;0;27;2;2;12000;1;5;6;8;1.415;4.679;8752.459962222667;2;4;1990
122671;2017;11;1;40;0;49;2;1;NA;NA;11;7;10;0.572;0.864;1616.1841007395562;2;6;1968
122827;2017;10;1;24;0;36;2;1;NA;NA;9;3;9;1.145;1.242;2323.2646448131118;2;6;1981
123584;2017;11;1;50;0;23;2;1;NA;NA;5;6;8;0.728;2.443;4569.835368179092;2;2;1994
125823;2017;11;1;40;0;35;2;2;12000;1;12;3;3;2.677;2.368;4429.541609434339;2;6;1982
128893;2017;11;1;41;0;35;2;1;NA;NA;3;6;8;0.472;0.434;811.8332172696382;1;5;1982
129718;2017;10;1;39;0;52;2;3;12345;1;3;3;4;1.145;0.848;1586.2547655406756;2;3;1965
129739;2017;11;1;30;0;55;2;1;NA;NA;9;1;9;0.296;0.205;383.4696072356586;2;12;1961
129975;2017;11;1;35;0;9999;2;1;NA;NA;3;6;8;0.534;0.573;1071.844316809914;2;99;9999
130001;2017;10;1;38;0;45;3;1;NA;NA;7;3;4;0.728;0.871;1629.2781848890666;2;2;1972
130024;2017;10;1;50;0;48;2;1;NA;NA;9;6;8;0.534;0.202;377.8578568858685;1;12;1968
130028;2017;10;1;100;0;28;2;NA;NA;NA;11;7;10;1.145;0.875;1636.7605186887868;1;11;1988
200318;2017;10;0;40;1;34;2;3;12300;1;2;7;10;0.802;0.968;1810.7247795322805;1;4;1983
200623;2017;10;0;40;0;58;2;2;12000;1;5;6;10;0.728;0.475;888.5271387167699;2;12;1958
200758;2017;10;0;40;0;60;2;2;99999;9;5;3;3;0.728;0.713;1333.7259998001198;2;7;1957
201353;2017;10;0;28;0;54;2;1;NA;NA;9;2;2;0.534;0.291;544.3397839296422;2;8;1963
201568;2017;10;0;43;0;44;2;2;12000;1;11;7;10;0.534;0.839;1569.419514491305;1;11;1972
202380;2017;11;0;30;0;61;3;1;NA;NA;9;3;4;0.296;0.308;576.1397025784529;2;12;1955
202405;2017;11;0;40;0;42;3;1;NA;NA;5;4;4;0.534;0.44;823.0567179692184;1;7;1975
202471;2017;11;0;50;0;56;4;2;12000;1;5;6;8;0.296;0.203;379.72844033579855;2;4;1961
202789;2017;10;0;33;0;45;2;1;12300;1;3;1;7;0.534;0.505;944.6446422146712;2;9;1972
202949;2017;10;0;25;0;42;2;1;NA;NA;9;2;7;0.296;0.206;385.3401906855886;2;7;1975
203148;2017;11;0;14;0;51;2;2;12000;1;5;4;10;0.534;0.572;1069.973733359984;2;8;1966
203460;2017;10;0;35;0;51;2;1;NA;NA;2;7;10;0.534;0.427;798.7391331201278;1;6;1966
203700;2017;10;0;38;0;59;4;3;12300;1;8;3;3;0.534;0.577;1079.326650609634;2;7;1958
203736;2017;10;0;30;1;49;2;2;12000;1;5;6;10;0.382;0.377;705.2099606236258;2;7;1968
204068;2017;11;0;35;0;49;2;1;12000;1;1;3;9;0.296;0.211;394.69310793523886;2;9;1968
204117;2017;11;0;35;0;56;2;1;NA;NA;2;7;10;0.296;0.306;572.3985356785929;2;4;1961
204122;2017;11;0;40;0;54;2;1;NA;NA;3;3;3;0.534;0.481;899.7506394163502;2;9;1963
204208;2017;10;0;42;0;60;3;1;NA;NA;3;7;10;0.296;0.284;531.2456997801319;1;6;1957
204477;2017;10;0;30;0;58;2;1;99999;9;12;1;9;0.534;0.361;675.2806254247452;2;1;1959
204800;2017;11;0;50;0;60;4;1;NA;NA;14;3;3;0.534;1.483;2774.075256246252;1;5;1957
204876;2017;10;0;42;0;49;2;2;12000;1;5;6;8;0.267;0.315;589.2337867279632;1;11;1967
205231;2017;10;0;55;0;46;3;1;NA;NA;9;3;4;0.534;0.35;654.7042074755146;2;2;1971
205493;2017;10;0;42;0;50;2;2;12000;1;11;7;10;0.534;0.419;783.7744655206875;1;5;1967
206019;2017;11;0;40;0;54;3;1;NA;NA;16;4;6;0.267;0.316;591.1043701778932;1;6;1963
206293;2017;10;0;40;0;62;1;1;NA;NA;15;4;5;0.267;0.51;953.9975594643214;1;3;1955
206357;2017;11;0;50;0;59;4;1;NA;NA;6;4;10;0.421;0.753;1408.5493377973216;1;6;1958
206535;2017;10;0;21;0;47;2;1;NA;NA;9;4;8;0.296;0.203;379.72844033579855;2;5;1970
206706;2017;10;0;40;0;57;1;2;12000;1;6;7;10;0.296;0.432;808.0920503697781;1;10;1960
207150;2017;10;0;38;0;53;2;3;12300;1;5;6;8;0.445;0.284;531.2456997801319;1;3;1964
207347;2017;10;0;45;0;53;2;1;NA;NA;5;5;10;0.445;0.301;563.0456184289426;1;12;1963
207407;2017;10;0;46;0;64;2;1;NA;NA;5;6;10;0.572;0.459;858.5978035178894;1;6;1953
207603;2017;10;0;35;0;38;2;2;12000;1;7;6;8;0.572;0.396;740.7510461722967;1;7;1979
207715;2017;10;0;45;0;59;2;1;NA;NA;5;7;10;1;0.802;1500.2079268438936;1;11;1957
208100;2017;10;0;12;0;61;2;1;NA;NA;6;6;8;0.296;0.224;419.0106927843294;2;11;1955
208114;2017;10;0;50;0;47;4;2;12000;1;3;3;3;0.534;0.474;886.6565552668399;1;11;1969
208272;2017;10;0;30;0;48;2;NA;NA;NA;11;7;10;0.534;0.702;1313.1495818508893;2;10;1969
208344;2017;10;0;35;0;48;3;2;12000;1;8;3;7;1.145;0.957;1790.14836158305;2;1;1969
208425;2017;10;0;45;0;59;2;1;12000;1;8;2;2;0.296;0.532;995.1503953627823;1;8;1958
208619;2017;10;0;40;0;61;2;3;12300;1;16;5;7;0.534;0.479;896.0094725164901;1;9;1956
208629;2017;10;0;45;0;63;2;2;12000;1;12;2;2;0.296;0.986;1844.3952816310214;1;11;1953
208648;2017;10;0;42;0;38;2;2;12000;1;8;4;4;0.728;1.216;2274.629475114931;1;7;1979
208781;2017;10;0;45;0;49;2;1;NA;NA;15;6;8;0.728;0.526;983.9268946632021;1;2;1968
208856;2017;10;0;40;0;53;2;1;NA;NA;7;3;5;0.728;1.117;2089.441713571857;2;2;1964
208969;2017;10;0;44;0;60;2;1;NA;NA;15;3;5;0.728;0.57;1066.2325664601237;2;3;1957
209233;2017;10;0;39;0;50;2;1;NA;NA;3;4;7;0.267;0.389;727.6569620227864;2;6;1967
209256;2017;10;0;40;0;52;2;2;12000;1;8;4;4;1.145;1.416;2648.7461651009394;1;10;1965
209395;2017;10;0;20;0;68;2;3;12300;1;5;4;7;0.296;0.239;447.06944453328003;1;8;1949
209400;2017;10;0;43;0;41;2;1;NA;NA;3;1;4;1.145;3.307;6186.019468918649;1;8;1976
209604;2017;11;0;45;0;60;2;1;NA;NA;6;5;8;0.267;0.386;722.0452116729962;1;1;1957
209812;2017;10;0;45;0;51;2;1;NA;NA;9;2;7;0.445;0.315;589.2337867279632;1;12;1965
209961;2017;10;0;45;1;27;2;1;99999;9;10;3;3;0.728;3.795;7098.86419248451;2;9;1990
209985;2017;11;0;45;0;61;2;1;NA;NA;8;3;7;0.296;0.326;609.8102046771937;1;6;1956
210045;2017;10;0;40;0;55;2;5;12345;1;5;7;10;0.445;0.357;667.7982916250251;1;3;1962
210134;2017;10;0;42;0;35;2;1;NA;NA;5;5;6;1.145;2.042;3819.7314047571454;2;3;1982
210187;2017;10;0;20;0;34;2;1;NA;NA;5;4;5;0.534;0.827;1546.9725130921447;2;11;1982
210296;2017;10;0;12;1;56;2;1;NA;NA;3;3;7;0.728;0.601;1124.220653407955;2;7;1961
210357;2017;11;0;20;0;50;1;1;NA;NA;3;3;7;0.534;1.255;2347.5822296622027;2;8;1967
210368;2017;10;0;35;1;56;2;2;12000;1;5;4;7;0.267;0.235;439.5871107335599;1;12;1960
210503;2017;11;0;40;0;51;1;1;NA;NA;5;4;7;0.728;1.874;3505.473385168899;1;11;1966
210513;2017;10;0;41;0;62;3;1;NA;NA;1;1;1;0.296;0.258;482.61053008195086;2;3;1955
210607;2017;11;0;32;1;54;2;1;NA;NA;5;4;5;0.728;1.435;2684.2872506496105;2;5;1963
210619;2017;10;0;45;0;34;2;1;NA;NA;1;4;6;0.728;0.747;1397.3258370977412;1;2;1983
210657;2017;10;0;40;0;40;2;1;12000;1;8;3;10;0.445;0.539;1008.2444795122926;2;4;1977
210928;2017;11;0;15;1;40;2;2;12000;1;5;7;10;0.534;0.599;1120.479486508095;2;8;1977
210932;2017;10;0;40;1;51;1;1;NA;NA;9;4;7;0.267;0.851;1591.8665158904657;1;2;1966
210999;2017;11;0;20;0;52;2;1;NA;NA;6;7;10;0.534;0.697;1303.7966646012392;2;8;1965
211036;2017;10;0;60;0;53;4;1;NA;NA;5;6;10;0.296;0.274;512.5398652808316;2;7;1964
211093;2017;10;0;55;0;45;3;2;12000;1;1;4;4;0.572;0.39;729.5275454727164;1;10;1972
211124;2017;10;0;42;0;41;4;1;12000;1;14;3;9;0.534;0.471;881.0448049170496;2;1;1976
211241;2017;11;0;26;0;58;3;1;NA;NA;11;7;10;0.802;0.511;955.8681429142515;2;2;1959
211664;2017;11;0;45;0;51;1;2;12000;1;5;6;8;0.728;0.64;1197.1734079552268;1;9;1966
212087;2017;11;0;29;0;42;2;1;NA;NA;6;3;9;0.296;0.287;536.8574501299221;2;1;1975
212164;2017;12;0;23;1;45;2;3;12300;1;6;3;3;1.145;1.235;2310.170560663602;1;9;1972
212576;2017;11;0;47;0;52;2;2;12000;1;9;4;9;0.472;0.344;643.4807067759343;1;12;1964
212640;2017;12;0;40;0;39;1;1;NA;NA;9;3;4;0.572;0.382;714.5628778732761;1;12;1978
212708;2017;12;0;35;0;55;2;1;NA;NA;9;3;3;0.534;0.433;809.9626338197082;2;1;1962
212714;2017;12;0;45;0;54;3;1;NA;NA;9;5;8;1.145;0.522;976.4445608634819;2;10;1963
212875;2017;11;0;42;0;21;2;1;NA;NA;9;4;6;0.925;0.397;742.6216296222267;1;10;1996
213212;2017;12;0;45;0;50;3;2;12300;1;15;4;5;1.145;1.776;3322.1562070757545;1;11;1967
213586;2017;12;0;33;1;51;2;1;NA;NA;8;7;10;0.728;0.357;667.7982916250251;2;11;1966
213637;2017;12;0;40;0;44;2;1;NA;NA;9;7;10;0.267;0.206;385.3401906855886;1;1;1973
214341;2018;1;0;40;0;47;2;1;NA;NA;6;5;8;0.534;0.527;985.7974781131322;1;1;1971
214960;2017;12;0;50;0;43;2;2;12000;1;6;5;10;0.445;0.447;836.1508021187287;1;5;1974
215001;2017;12;0;20;0;22;4;1;NA;NA;5;7;10;0.728;2.476;4631.5646220267845;1;2;1995
215022;2017;11;0;45;0;54;2;2;12000;1;5;6;8;0.617;1.561;2919.9807653407956;1;12;1962
215424;2017;11;0;50;0;52;2;1;NA;NA;2;7;10;0.534;0.21;392.8225244853088;2;2;1965
215481;2017;12;0;33;0;51;2;1;NA;NA;6;3;3;0.296;0.209;390.9519410353788;2;10;1966
216120;2017;12;0;39;0;65;3;2;12000;1;5;7;10;0.728;0.384;718.3040447731361;2;9;1952
216191;2017;11;0;30;1;60;2;4;12340;1;5;5;7;0.296;0.206;385.3401906855886;1;2;1957
216317;2018;1;0;23;1;42;5;2;12000;1;9;2;4;0.572;0.58;1084.9384009594244;2;5;1975
216478;2017;11;0;50;0;40;2;2;99999;9;5;5;9;0.534;0.999;1868.712866480112;1;11;1977
216566;2018;3;0;50;0;54;2;3;99999;9;12;6;10;0.925;0.992;1855.6187823306016;1;10;1963
216627;2017;12;0;32;0;60;2;1;NA;NA;7;1;3;0.534;0.694;1298.184914251449;2;12;1957
216865;2017;12;0;40;0;48;2;1;NA;NA;8;6;10;0.296;0.6;1122.3500699580252;1;4;1969
217617;2017;11;0;30;0;49;2;1;NA;NA;5;7;10;0.296;0.383;716.4334613232062;2;12;1967
217880;2018;3;0;32;0;37;2;1;NA;NA;12;4;10;0.802;0.669;1251.4203280031982;2;12;1980
217896;2017;11;0;40;0;47;1;1;NA;NA;3;3;4;0.667;1.282;2398.087982810314;1;1;1970
218075;2017;11;0;48;0;39;2;1;NA;NA;14;3;9;0.728;0.662;1238.3262438536879;2;12;1977
218505;2017;11;0;38;0;54;2;1;NA;NA;6;6;8;0.296;0.224;419.0106927843294;2;9;1963
218507;2017;12;0;40;0;64;2;1;NA;NA;11;7;10;0.296;0.342;639.7395398760743;2;6;1953
218568;2018;2;0;25;0;59;2;3;12300;1;12;1;4;0.296;0.395;738.8804627223666;2;5;1958
218933;2017;11;0;37;0;39;2;2;12000;1;3;4;7;0.243;0.436;815.5743841694982;2;6;1978
218984;2017;12;0;39;0;31;2;2;99999;9;10;6;8;0.296;0.361;675.2806254247452;2;2;1986
219089;2017;12;0;15;0;57;2;4;12340;1;11;7;10;0.728;0.503;940.9034753148112;2;4;1960
219130;2018;1;0;50;0;35;2;1;NA;NA;11;7;10;0.728;0.431;806.2214669198481;1;3;1982
219766;2017;11;0;20;0;41;2;1;NA;NA;5;4;10;0.534;0.879;1644.2428524885067;2;6;1976
219787;2017;11;0;40;0;55;2;2;12000;1;16;3;5;0.296;0.344;643.4807067759343;1;2;1962
219801;2017;12;0;18;0;69;2;2;12000;1;6;6;8;0.296;0.365;682.7629592244654;2;4;1948
219837;2017;11;0;15;0;60;2;1;NA;NA;8;3;6;0.382;0.385;720.1746282230662;2;1;1957
219886;2017;11;0;39;0;39;2;1;NA;NA;2;7;10;0.534;0.394;737.0098792724366;2;10;1978
220104;2018;1;0;39;0;53;2;1;NA;NA;5;7;10;0.296;0.203;379.72844033579855;2;4;1964
220137;2017;12;0;40;1;49;3;2;12000;1;6;3;3;0.707;0.55;1028.8208974615231;2;10;1968
220301;2017;11;0;39;0;41;2;2;12000;1;8;7;10;0.382;0.305;570.5279522286628;2;11;1976
220331;2017;12;0;22;0;50;2;1;NA;NA;5;7;10;0.534;1.154;2158.653301219268;2;4;1967
220365;2017;12;0;34;0;57;2;2;12000;1;8;3;7;0.534;0.691;1292.5731639016587;2;12;1960
220380;2017;11;0;30;0;54;1;1;NA;NA;5;7;10;0.296;0.523;978.3151443134119;2;8;1963
220666;2017;11;0;20;0;63;2;1;NA;NA;13;2;2;0.421;0.331;619.1631219268439;2;1;1954
220882;2017;11;0;45;1;41;2;2;12000;1;7;1;1;0.243;0.53;991.4092284629222;1;5;1976
220954;2017;11;0;25;1;56;1;1;NA;NA;8;2;7;0.421;0.327;611.6807881271237;2;9;1961
221133;2017;12;0;40;0;57;3;2;12000;1;3;4;7;0.296;0.274;512.5398652808316;2;2;1960
221377;2018;2;0;65;0;52;2;2;12000;1;7;2;2;0.267;0.621;1161.6323224065559;1;4;1965
221543;2017;11;0;45;0;51;4;1;NA;NA;12;4;10;0.728;0.883;1651.725186288227;2;7;1966
221626;2017;11;0;38;0;55;2;1;NA;NA;8;6;8;0.728;0.303;566.7867853288027;1;7;1962
221747;2017;11;0;50;0;35;5;1;12000;1;11;7;10;0.421;0.709;1326.2436660003996;1;8;1982
221784;2017;11;0;40;0;63;2;2;12000;1;14;3;3;0.802;1.597;2987.321769538277;2;4;1954
222228;2017;12;0;42;0;48;1;2;12000;1;9;4;6;0.534;1.194;2233.47663921647;2;3;1969
222316;2017;11;0;40;0;56;2;1;NA;NA;5;6;8;1.145;0.865;1618.0546841894861;1;2;1961
222363;2017;11;0;42;0;52;2;2;12000;1;3;4;9;0.267;0.214;400.30485828502896;2;12;1964
222462;2017;11;0;40;0;29;2;2;12000;1;3;4;5;0.534;0.893;1670.4310207875276;1;10;1988
222609;2017;12;0;56;0;60;2;1;NA;NA;16;1;7;0.296;0.305;570.5279522286628;2;5;1957
222880;2017;11;0;10;0;67;4;1;12000;1;9;5;8;0.296;0.204;381.59902378572855;2;4;1950
222913;2017;12;0;42;0;32;2;1;NA;NA;11;7;10;0.243;0.202;377.8578568858685;1;12;1985
222935;2018;1;0;50;0;52;2;1;NA;NA;6;3;9;0.382;1.261;2358.8057303617825;1;2;1965
222951;2017;12;0;35;0;41;3;1;NA;NA;5;4;6;0.534;0.561;1049.3973154107537;2;4;1976
222988;2017;11;0;40;0;52;2;1;NA;NA;1;6;8;0.572;0.226;422.7518596841895;1;12;1964
223171;2017;12;0;35;0;50;2;2;12000;1;3;4;10;0.534;0.453;847.3743028183089;2;8;1967
223218;2017;11;0;35;0;57;2;2;12000;1;5;7;10;0.296;0.238;445.19886108335;2;6;1960
223696;2017;11;0;50;0;59;1;1;NA;NA;3;3;9;0.572;2.463;4607.2470371776935;1;2;1958
223850;2017;11;0;40;0;59;3;1;NA;NA;3;4;4;0.267;0.267;499.4457811313212;2;3;1958
223915;2017;12;0;30;0;41;2;NA;NA;NA;5;6;10;0.296;0.649;1214.0086590045973;2;7;1976
224874;2017;11;0;35;1;40;2;2;12000;1;8;7;10;0.728;0.606;1133.5735706576054;2;9;1977
225012;2017;12;0;15;0;36;4;1;NA;NA;8;2;4;1.145;4.685;8763.683462922247;2;6;1981
225440;2017;11;0;40;0;48;2;1;NA;NA;9;3;9;0.296;0.359;671.539458524885;1;7;1969
225543;2017;11;0;40;0;46;4;1;NA;NA;9;6;10;0.296;0.207;387.21077413551865;2;5;1971
225552;2017;12;0;28;0;54;2;1;NA;NA;2;7;10;0.802;0.554;1036.3032312612434;2;10;1963
225599;2017;11;0;12;1;48;2;1;NA;NA;9;1;7;0.534;0.515;963.3504767139716;2;1;1969
226617;2017;12;0;60;0;40;3;1;NA;NA;6;4;5;0.267;0.45;841.762552468519;1;2;1977
227200;2018;3;0;31;0;55;2;1;NA;NA;5;4;9;0.267;0.254;475.12819628223065;2;1;1963
227495;2017;11;0;45;0;54;2;2;12000;1;9;2;9;0.296;0.348;650.9630405756546;1;7;1963
227619;2017;11;0;40;0;58;2;2;12000;1;16;1;4;0.728;1.099;2055.771211473116;2;10;1959
227768;2018;1;0;50;0;45;2;3;12300;1;2;7;10;0.534;0.665;1243.937994203478;2;5;1972
227887;2017;12;0;35;0;54;2;1;NA;NA;7;3;3;1;2.055;3844.048989606237;1;6;1963
227999;2017;11;0;36;0;64;2;1;NA;NA;3;4;7;0.296;0.234;437.7165272836299;2;12;1952
228019;2017;11;0;15;1;53;5;1;NA;NA;5;4;9;0.534;0.944;1765.8307767339595;2;4;1964
231350;2018;2;0;40;0;30;2;2;12000;1;3;3;4;0.802;0.779;1457.1845074955027;1;9;1987
231545;2018;1;0;40;0;52;1;1;NA;NA;1;2;5;0.534;1.229;2298.9470599640217;1;8;1965
232439;2017;12;0;38;0;61;2;2;12000;1;3;3;3;0.572;0.47;879.1742214671198;2;11;1956
232528;2017;12;0;30;0;61;2;1;NA;NA;6;7;10;0.728;0.466;871.6918876673997;2;8;1956
233187;2017;11;0;38;0;48;3;1;NA;NA;9;3;3;0.296;0.571;1068.1031499100538;1;6;1969
233454;2017;12;0;42;0;58;3;1;NA;NA;1;4;9;0.534;0.286;534.986866679992;2;2;1959
233926;2017;12;0;25;0;64;2;2;12000;1;5;6;10;0.296;0.277;518.1516156306217;2;10;1953
234182;2017;11;0;30;0;55;2;1;NA;NA;14;6;8;0.728;0.296;553.6927011792924;2;4;1962
234193;2017;12;0;35;0;44;2;1;NA;NA;1;3;7;0.728;0.791;1479.6315088946633;2;2;1973
234527;2017;12;0;48;0;55;2;1;NA;NA;8;5;10;0.728;0.375;701.4687937237657;1;6;1962
235227;2017;12;0;10;0;60;99;NA;NA;NA;8;4;5;0.296;0.972;1818.2071133320007;2;5;1957
235296;2017;11;0;24;0;63;2;1;NA;NA;8;4;9;0.534;0.674;1260.7732452528485;2;4;1954
236182;2017;11;0;40;0;48;2;1;NA;NA;9;3;9;0.534;0.731;1367.3965018988606;2;1;1969
236516;2017;11;0;33;0;56;3;1;NA;NA;6;3;9;0.534;0.428;800.6097165700579;2;1;1961
236681;2017;11;0;25;0;63;2;4;12340;1;5;7;10;0.445;0.358;669.668875074955;2;1;1954
236942;2017;11;0;40;0;47;2;1;12000;1;5;6;8;0.296;0.281;525.6339494303419;1;4;1970
237123;2018;3;0;50;0;61;2;3;12300;1;6;3;9;0.243;0.233;435.84594383369983;1;12;1956
238126;2017;11;0;45;0;58;2;2;12000;1;11;7;10;0.534;0.463;866.0801373176095;1;3;1959
238204;2018;1;0;30;0;39;3;2;12000;1;8;6;10;1.145;0.689;1288.831997001799;2;4;1978
238378;2017;11;0;60;0;54;2;2;12000;1;5;3;5;0.534;0.787;1472.149175094943;1;5;1963
238390;2017;11;0;38;0;47;2;2;12000;1;9;7;10;0.445;0.223;417.14010933439937;1;1;1970
238404;2017;12;0;30;0;47;2;1;NA;NA;6;4;10;1.415;1.854;3468.061716170298;2;1;1970
238508;2017;11;0;40;0;36;1;1;NA;NA;8;4;5;0.728;1.751;3275.3916208275036;1;11;1981
238541;2017;11;0;11;0;39;2;1;NA;NA;3;2;2;0.534;0.523;978.3151443134119;2;8;1978
238696;2017;11;0;30;0;45;5;2;12000;1;12;6;10;0.802;1.24;2319.523477913252;1;2;1972
